codigo;ideb
4319109;3,6
4319158;
4319158;
4319208;
4319208;
4319307;
4319307;
4319364;
4319364;
4319372;4,7
4319372;4,7
4319406;
4319406;
4319505;4,4
4319505;4,4
4319604;4,3
4319604;4,3
4319703;5,3
4319703;5,3
4319711;4,8
4319711;4,8
4319752;4,3
4319752;4,3
4319802;
4319802;
4319802;
4319901;4,2
4319901;5,5
4319901;4,3
4320008;3,4
4320008;3,4
4320107;4,2
4320107;4,2
4320206;
4320206;
4320230;5,0
4320230;5,0
4320263;
4320263;
4320305;4,6
4320305;4,6
4320321;
4320321;
4320354;
4320354;
4320404;
4320404;
4320453;4,8
4320453;4,8
4320503;4,0
4320503;4,9
4320503;4,7
4320552;
4320552;
4320578;4,8
4320578;4,8
4320602;5,0
4320602;5,0
4320651;
4320651;
4320677;4,9
4320677;4,9
4320701;4,6
4320701;4,6
4320800;3,9
4320800;3,9
4320859;4,7
4320859;
4320859;4,6
4320909;4,3
4320909;4,3
4321006;4,5
4321006;4,5
4321105;
4321105;
4321204;4,7
4321204;3,6
4321204;4,6
4321303;4,4
4321303;4,4
4321329;5,0
4321329;5,0
4321352;
4321352;
4321402;3,1
4321402;3,1
4321436;3,8
4321436;3,8
4321451;5,0
4321451;5,0
4321469;
4321469;
4321477;4,4
4321477;4,4
4321493;
4321493;
4321501;4,3
4321501;4,3
4321600;3,9
4321600;3,9
4321626;5,0
4321626;5,0
4321634;
4321634;
4321667;4,4
4321667;4,4
4321709;4,0
4321709;4,0
4321808;4,2
4321808;4,2
4321832;4,8
4321832;4,8
4321857;
4321857;
4321907;4,8
4321907;4,8
4321956;
4321956;
4322004;1,9
4322004;4,1
4322004;3,2
4322103;3,6
4322103;3,6
4322152;4,3
4322152;4,3
4322186;3,9
4322186;3,9
4322202;3,8
4322202;3,8
4322251;5,8
4322251;5,8
4322301;4,3
4322301;4,3
4322327;
4322327;
4322343;
4322343;
4322376;
4322376;
4322400;3,8
4322400;3,8
4322509;4,6
4322509;
4322509;4,7
4322525;
4322525;
4322533;4,4
4322533;4,4
4322541;
4322541;
4322558;5,7
4322558;5,7
4322608;4,6
4322608;6,0
4322608;5,0
4322707;4,0
4322707;4,0
4322806;3,7
4322806;3,9
4322855;
4322855;
4322905;4,3
4322905;4,3
4323002;3,2
4323002;3,2
4323101;
4323101;
4323200;5,5
4323200;5,5
4323309;
4323309;
4323358;4,2
4323358;4,2
4323408;
4323408;
4323457;3,7
4323457;3,7
4323507;
4323507;
4323606;5,5
4323606;5,5
4323705;4,8
4323705;4,8
4323754;3,7
4323754;3,7
4323770;4,9
4323770;4,9
4323804;
4323804;
